Timestamp,Over,Bowler,Runs,Wickets,Batsman,Score
29/07/2022 20:08:01,1,Obed McCoy,5,0,,5
29/07/2022 20:12:49,2,Jason Holder,15,0,,20
29/07/2022 20:18:46,3,Akeal Hosein,5,0,,25
29/07/2022 20:23:08,4,Alzarri Joseph,18,0,,43
29/07/2022 20:31:25,5,Akeal Hosein,1,1,Suryakumar Yadav,44
29/07/2022 20:33:25,6,Obed McCoy,1,1,Shreyas Iyer,45
29/07/2022 20:52:30,7,Akeal Hosein,5,0,,50
29/07/2022 20:52:53,8,Alzarri Joseph,12,0,,62
29/07/2022 20:54:07,9,Odean Smith,11,0,,73
29/07/2022 20:54:57,10,Keemo Paul,15,1,Rishabh Pant,88
29/07/2022 20:58:15,11,Akeal Hosein,3,0,,91
29/07/2022 21:05:53,12,Alzarri Joseph,13,1,Hardik Pandya,104
29/07/2022 21:12:04,13,Keemo Paul,9,0,,113
29/07/2022 21:15:36,14,Odean Smith,11,0,,124
29/07/2022 21:20:41,15,Jason Holder,7,1,Rohit Sharma ,131
29/07/2022 21:29:24,16,Alzarri Joseph,7,1,Ravindra Jadeja ,138
29/07/2022 21:33:01,17,Jason Holder,7,0,,145
29/07/2022 21:38:31,18,Obed McCoy,9,0,,154
29/07/2022 21:44:54,19,Jason Holder,21,0,,175
29/07/2022 21:50:15,20,Obed McCoy,15,0,,190
